mp_id,formula,bandgap_eV,nsites,density_g_per_cm3,volume_per_atom_A3,spacegroup_number,crystal_system,nelements
mp-561312,KHfCuF7,0.4453,40,5.26,13.0736,63,Orthorhombic,4
mp-556450,PrB2ClO4,5.0695,16,4.117,13.2083,2,Triclinic,4
mp-573150,Cs2GeO3,3.3437,72,4.674,22.8824,14,Monoclinic,3
mp-558807,ZnAgPS4,2.1934,28,3.6622,21.5382,33,Orthorhombic,4
mp-556092,Pr2Te4MoO14,3.2669,42,5.1931,16.9342,2,Triclinic,4
mp-12535,K2ZnTe2,2.0537,10,3.7108,35.6917,72,Orthorhombic,3
mp-1079541,ZnCu2SnS4,0.0944,8,4.6073,19.7991,82,Tetragonal,4
mp-1212060,InPb2F7,4.3537,40,7.5156,14.6311,14,Monoclinic,3
mp-17544,Ca(CoO2)2,1.6139,28,5.6394,9.3359,62,Orthorhombic,3
mp-1215056,BaMn5(SO4)6,4.3486,108,3.3265,13.7053,147,Trigonal,4
mp-28553,Ca2IN,2.3485,8,4.0109,22.8806,194,Hexagonal,3
mp-3245,SnP7Au3,0.0265,22,7.2158,19.3813,11,Monoclinic,3
mp-17918,Ba2SnS3F2,2.4412,32,4.5185,24.2344,62,Orthorhombic,4
mp-16445,CsSm2CuSe4,0.9508,16,5.8425,28.8839,63,Orthorhombic,4
mp-1219355,SiAg6HgSe6,0.1021,28,6.3431,25.2372,31,Orthorhombic,4
mp-23055,RbCuCl3,0.1859,20,3.2738,25.9064,60,Orthorhombic,3
mp-562111,Co3(AsO4)2,1.9587,52,5.2301,11.1035,14,Monoclinic,3
mp-1208842,SmTeAs,0.3803,12,7.3468,26.5863,62,Orthorhombic,3
mp-559893,LiBi(PdO2)2,0.446,16,7.5075,13.6239,129,Tetragonal,4
mp-759772,Sr2VCO3F5,2.4796,48,3.7359,14.1191,14,Monoclinic,5
mp-23321,Sr4Cl6O,4.5589,22,3.3989,25.7241,186,Hexagonal,3
mp-568591,La3CI5,0.192,18,5.0166,39.1051,2,Triclinic,3
mp-2418,PdSe2,0.4001,12,6.3595,23.0075,61,Orthorhombic,2
mp-19721,GdNbO4,0.2072,12,6.7837,12.8167,15,Monoclinic,3
mp-1190827,Ba2CoGe2O7,2.124,48,4.8202,16.9626,113,Tetragonal,4
mp-557693,CsZnPO4,3.9671,56,4.2274,16.4579,14,Monoclinic,4
mp-1227372,BiTeIr,0.4608,12,12.4068,23.5915,198,Cubic,3
mp-3338,NaGaO2,2.8582,16,3.9488,13.1109,33,Orthorhombic,3
mp-1198275,PrV2IO9,2.5277,52,4.5921,14.2889,57,Orthorhombic,4
mp-567558,CsAgCl2,2.201,8,4.0872,31.6568,129,Tetragonal,3
mp-679989,Bi(Mo2Cl5)3,2.1333,88,3.7852,26.2502,15,Monoclinic,3
mp-12262,CsBeF3,6.6443,20,3.629,18.2035,62,Orthorhombic,3
mp-14588,Na2PtSe2,0.869,10,5.9069,22.4324,36,Orthorhombic,3
mp-14650,Nd10Se19,0.5381,58,6.6086,25.4967,86,Tetragonal,2
mp-740719,Ba3In2(HO)12,3.2724,116,3.7863,12.7894,230,Cubic,4
mp-1021504,Ba2NbFeO6,1.455,20,6.2213,13.8634,225,Cubic,4
mp-560635,Cs2MoS4,1.7358,28,3.381,34.3805,62,Orthorhombic,3
mp-568020,Tl3SiTe3,1.124,28,6.9311,35.0481,2,Triclinic,3
mp-1209824,PrH6(CO3)3,3.4398,76,2.5503,11.2056,14,Monoclinic,4
mp-19266,Sr2FeWO6,1.7684,20,6.4052,13.2455,14,Monoclinic,4
mp-542001,CeF4,2.1473,30,4.7376,15.1492,15,Monoclinic,2
mp-1007663,HoTlTe2,0.7305,4,7.4933,34.5986,166,Trigonal,3
mp-1214848,Ba3Dy(BO3)3,3.8533,96,5.309,14.6792,185,Hexagonal,4
mp-16452,BaLa2ZnS5,1.4565,18,4.8127,24.5691,140,Tetragonal,4
mp-621112,Cs5Nb2S4Cl9,1.7925,20,3.4108,31.5881,71,Orthorhombic,4
mp-1217512,TbSi4B18C,1.4466,48,3.368,9.8172,12,Monoclinic,4
mp-1205075,KBa2Cd2Sb3,0.1876,32,5.24,35.8037,62,Orthorhombic,4
mp-1019786,K3Zn(BO2)5,4.3815,76,2.4929,13.9095,14,Monoclinic,4
mp-554152,Sr4Al6CrO16,2.2541,108,3.137,16.0832,33,Orthorhombic,4
mp-1226202,Cs2CaP2O7,4.9064,12,3.835,17.3138,8,Monoclinic,4
mp-2908,Al2ZnO4,3.846,14,4.6259,9.4034,227,Cubic,3
mp-1210229,Nb3In2Cl9,0.9687,28,3.6123,27.1684,12,Monoclinic,3
mp-1213703,Cs3Ca2Cl7,5.1748,12,2.9464,34.1457,139,Tetragonal,3
mp-558105,LiB6O9F,6.4556,68,2.087,10.9896,33,Orthorhombic,4
mp-18010,Ta2Pd3Se8,0.5261,26,7.0679,23.7261,55,Orthorhombic,3
mp-2695,Sb2Os,0.3447,6,11.0744,21.6793,58,Orthorhombic,2
mp-18987,LiMoP2O7,1.5361,22,3.1568,13.2375,4,Monoclinic,4
mp-557920,Zn3(PO4)2,3.4214,26,3.8394,12.8475,15,Monoclinic,3
mp-13797,K2NaCuF6,0.7248,10,3.1562,14.6639,225,Cubic,4
mp-542765,EuDyCuS3,0.0621,24,6.1615,21.2998,62,Orthorhombic,4
mp-558923,KTbCr2O8,2.7243,48,3.8345,15.5182,19,Orthorhombic,4
mp-1213455,CsZr6CCl15,1.1421,92,3.0361,29.1072,51,Orthorhombic,4
mp-641010,La4Te3N2,0.8813,36,6.1455,29.0149,62,Orthorhombic,3
mp-1211538,KNdTiO4,2.3607,28,4.9024,14.2844,57,Orthorhombic,4
mp-1199715,K2In2P3Se10,1.5675,68,3.892,29.875,14,Monoclinic,4
mp-555152,RbMoPClO5,2.0175,18,3.2987,18.3367,129,Tetragonal,5
mp-31050,Cl2O7,3.6753,18,2.3561,14.323,15,Monoclinic,2
mp-30005,Rb6Br4O,1.5308,22,3.4316,37.3222,167,Trigonal,3
mp-1208832,SmLuSe3,0.7935,20,7.1565,26.0902,11,Monoclinic,3
mp-17597,Ca(ScS2)2,1.2863,28,2.9386,20.8471,62,Orthorhombic,3
mp-28679,NaGaBr4,3.4888,24,3.4921,32.678,62,Orthorhombic,3
mp-779594,Zn2As2O7,2.0523,88,4.1184,14.3927,57,Orthorhombic,3
mp-1217713,Tb2MnSbO7,0.4296,22,7.241,12.645,74,Orthorhombic,4
mp-9693,K2SnSe3,1.646,12,3.5355,33.9569,2,Triclinic,3
mp-1213221,ErGeRh2,0.0157,24,10.9438,16.9072,194,Hexagonal,3
mp-2740887,K3(NiO2)2,0.2216,18,3.4632,15.9122,11,Monoclinic,3
mp-29904,SbXe2F9,2.0248,24,4.1258,18.6255,9,Monoclinic,3
mp-18348,KGaP2O7,4.4609,44,3.3235,12.8434,14,Monoclinic,4
mp-1216271,Y3ErTi4(SiO9)2,3.1195,56,4.8627,11.8252,4,Monoclinic,5
mp-1196329,K2AsH13O10,4.3998,52,1.8927,11.0076,9,Monoclinic,4
mp-1197749,BaGd2Si3O10,0.1458,32,5.1936,13.9098,11,Monoclinic,4
mp-5081,SmCuS2,1.1678,16,5.9704,19.3324,14,Monoclinic,3
mp-861926,KGd2CuSe4,0.7999,16,5.6681,26.8422,63,Orthorhombic,4
mp-18784,DyVO4,2.9764,12,5.7723,13.3021,141,Tetragonal,3
mp-7404,Na3SbO4,2.1351,16,4.3983,12.0211,13,Monoclinic,3
mp-1106094,KCO3,0.8756,20,1.8784,17.5228,14,Monoclinic,3
mp-1210669,MgAl3SiBO9,4.8418,60,2.8404,11.23,62,Orthorhombic,5
